0.3892,0.2727,0.6933,0.5226,0.0139,0.7448,0.7016,0.1533,0.1867,0.7027,1.0000,0.6853,0.3990,0.2300,0.0203,0.0212,0.0332,0.0165,0.4999,0.4326,0.1887,0.6486,0.0226,0.0299,0.0277,0.1282,0.5669,0.6855,0.5816,0.5823,0.6014,0.1733,0.0302,0.1885,0.0552,0.3170,0.6649,0.0892,0.7349,0.0127,0.7225,0.0100,0.6875,0.5932,0.1083,0.7246,0.0812,0.6524,0.0483,0.6528
0.3769,0.2662,0.7238,0.5343,0.0178,0.7756,0.7474,0.1458,0.2005,0.7717,0.6853,1.0000,0.4092,0.2561,0.0229,0.0273,0.0342,0.0208,0.5123,0.4572,0.2121,0.7482,0.0220,0.0384,0.0368,0.1225,0.5869,0.7205,0.6515,0.6154,0.6492,0.1773,0.0334,0.1604,0.0510,0.3389,0.7002,0.0812,0.7505,0.0161,0.7716,0.0133,0.7470,0.6194,0.0959,0.7866,0.0877,0.6916,0.0528,0.7707
0.3855,0.2199,0.4375,0.4160,0.0569,0.4377,0.3960,0.1766,0.2025,0.4134,0.3990,0.4092,1.0000,0.2065,0.0593,0.0785,0.0360,0.0782,0.3302,0.2800,0.1682,0.3849,0.0639,0.1217,0.0730,0.1220,0.3820,0.3874,0.3584,0.3692,0.3728,0.2098,0.0674,0.2212,0.0954,0.2038,0.4085,0.1117,0.4133,0.0129,0.4320,0.0097,0.4051,0.3626,0.1174,0.4040,0.1224,0.3699,0.0947,0.3977
0.1729,0.1252,0.2465,0.2282,0.0829,0.2596,0.2459,0.1345,0.2014,0.2445,0.2300,0.2561,0.2065,1.0000,0.0819,0.1168,0.0426,0.1127,0.1846,0.1506,0.1569,0.2495,0.0836,0.2183,0.0976,0.3874,0.1984,0.2370,0.2274,0.2031,0.2123,0.1321,0.0883,0.1228,0.0898,0.1156,0.2385,0.0880,0.2543,0.0139,0.2532,0.0116,0.2408,0.2078,0.1265,0.2504,0.1313,0.2256,0.1177,0.2591
0.0506,0.0338,0.0218,0.0474,0.1057,0.0219,0.0221,0.0604,0.1381,0.0208,0.0203,0.0229,0.0593,0.0819,1.0000,0.1441,0.0048,0.1567,0.0173,0.0137,0.0973,0.0553,0.3531,0.1415,0.1142,0.0762,0.0164,0.0232,0.0249,0.0184,0.0169,0.0731,0.0937,0.0646,0.0417,0.0118,0.0221,0.0404,0.0219,0.0067,0.0224,0.0064,0.0208,0.0170,0.0584,0.0178,0.0713,0.0179,0.1075,0.0212
0.0609,0.0433,0.0219,0.0624,0.1515,0.0247,0.0231,0.0859,0.2214,0.0225,0.0212,0.0273,0.0785,0.1168,0.1441,1.0000,0.0067,0.2409,0.0198,0.0169,0.1479,0.0270,0.1787,0.1967,0.1575,0.1066,0.0178,0.0334,0.0328,0.0192,0.0188,0.1032,0.1540,0.0842,0.0588,0.0141,0.0259,0.0570,0.0225,0.0106,0.0225,0.0117,0.0223,0.0177,0.0899,0.0195,0.1082,0.0191,0.2632,0.0232
0.0297,0.0199,0.0437,0.0490,0.0036,0.0456,0.0408,0.0217,0.0157,0.0421,0.0332,0.0342,0.0360,0.0426,0.0048,0.0067,1.0000,0.0070,0.0392,0.0253,0.0139,0.0344,0.0075,0.0116,0.0061,0.0341,0.0348,0.0342,0.0321,0.0318,0.0365,0.0361,0.0280,0.0315,0.0208,0.0245,0.0334,0.0205,0.0365,0.0356,0.0396,0.0417,0.0412,0.0315,0.0207,0.0269,0.0101,0.0337,0.0127,0.0364
0.0577,0.0413,0.0177,0.0571,0.1977,0.0195,0.0171,0.0765,0.2044,0.0170,0.0165,0.0208,0.0782,0.1127,0.1567,0.2409,0.0070,1.0000,0.0172,0.0121,0.1397,0.0222,0.2085,0.2057,0.1878,0.1760,0.0141,0.0190,0.0273,0.0150,0.0145,0.0976,0.1530,0.0874,0.0544,0.0117,0.0222,0.0526,0.0163,0.0111,0.0172,0.0088,0.0163,0.0118,0.0822,0.0128,0.1006,0.0136,0.1630,0.0192
0.3087,0.2238,0.5512,0.5037,0.0137,0.5341,0.5038,0.1243,0.1572,0.5349,0.4999,0.5123,0.3302,0.1846,0.0173,0.0198,0.0392,0.0172,1.0000,0.3571,0.1510,0.4836,0.0185,0.0332,0.0254,0.1083,0.4540,0.4864,0.4498,0.4598,0.4835,0.1999,0.0232,0.2340,0.0460,0.2571,0.4934,0.0680,0.5249,0.0120,0.5555,0.0096,0.5235,0.4491,0.0899,0.4925,0.0687,0.4695,0.0484,0.4980
0.2689,0.1841,0.4820,0.3789,0.0099,0.5009,0.4441,0.1229,0.1349,0.4624,0.4326,0.4572,0.2800,0.1506,0.0137,0.0169,0.0253,0.0121,0.3571,1.0000,0.1329,0.4107,0.0137,0.0227,0.0210,0.0874,0.3893,0.4141,0.3907,0.4083,0.4850,0.1346,0.0181,0.1257,0.0480,0.2198,0.4431,0.0856,0.4490,0.0088,0.4739,0.0063,0.4492,0.4048,0.0608,0.4551,0.0617,0.4245,0.0305,0.4325
